name,id,permalink,media_type,like_count,comments_count,timestamp,media_url,caption,date,engagement
after9,18090264346307048,https://www.instagram.com/p/CjDcL5JBfPB/,CAROUSEL_ALBUM,36,2,2022-09-28 14:28:17+00:00,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/309283136_1498200460622969_7953912573146024551_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=tE0fwlOeldcAX-oaWtz&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfDpDbtO_79OAG849gRksbkCGLTBgO372mIJd5gSlSFVrg&oe=636C72AD,"🎉After9&wine 프리미엄 시음회🍷
𝐓𝐡𝐞 𝐆𝐫𝐞𝐚𝐭 𝐖𝐢𝐧𝐞 𝐈𝐈𝐈 '𝐈𝐭𝐚𝐥𝐢𝐚𝐧 𝐈𝐧𝐧𝐨𝐯𝐚𝐭𝐢𝐨𝐧'

전세계적인 명성을 누리며 많은 이들의 사랑을 받고 있는 위대한 와인은 과연 어떻게 만들어지는 걸까요?

로마시대 이래 유구한 역사와 와인 문화를 이어온 이탈리이는 그들이 가진 전통과 유산에 만족하지 않고 특유의 감각과 재해석을 더한 현대적인 이탈리아 와인으로 새로운 지평을 열어가고 있습니다.

감각적인 와인 공간 애프터 나인 앤 와인에서 선보이는 명품 와인 시음회의 세 번째 주제는 '이탈리안 이노베이션' 입니다.

---------------------------------------------------------------------------------

𝐖𝐢𝐧𝐞 𝐋𝐢𝐬𝐭
🍷 𝐶𝑎'𝑑𝑒𝑙 𝐵𝑜𝑠𝑐𝑜, 𝐹𝑟𝑎𝑛𝑐𝑖𝑎𝑐𝑜𝑟𝑡𝑎 𝐶𝑢𝑣𝑒𝑒 𝑃𝑟𝑒𝑠𝑡𝑖𝑔𝑒 / 소비자가: 89,000 
🍷 𝐽𝑒𝑟𝑚𝑎𝑛𝑛 𝑉𝑒𝑛𝑒𝑧𝑖𝑎 𝐺𝑖𝑢𝑙𝑖𝑎 𝑉𝑖𝑛𝑡𝑎𝑔𝑒 𝑇𝑢𝑛𝑖𝑛𝑎 2018 / 소비자가: 115,000원
🍷 𝑃𝑖𝑒𝑡𝑟𝑎𝑑𝑜𝑙𝑐𝑒 𝐸𝑡𝑛𝑎 𝑅𝑜𝑠𝑠𝑜 𝐶𝑜𝑛𝑡𝑟𝑎𝑑𝑎 𝑅𝑎𝑚𝑝𝑎𝑛𝑡𝑒 2018 / 소비자가: 85,000원 
🍷 𝐵𝑟𝑎𝑖𝑑𝑎 𝐵𝑎𝑟𝑏𝑒𝑟𝑎 𝑑'𝐴𝑠𝑡𝑖 𝐵𝑟𝑖𝑐𝑐𝑜 𝑑𝑒𝑙𝑙'𝑈𝑐𝑐𝑒𝑙𝑙𝑜𝑛𝑒  2018 /소비자가: 165,000원 
🍷 𝐵𝑖𝑏𝑖 𝐺𝑟𝑎𝑒𝑡𝑧, 𝑇𝑜𝑠𝑐𝑎𝑛𝑎 𝑅𝑜𝑠𝑠𝑜 𝑇𝑒𝑠𝑡𝑎𝑚𝑎𝑡𝑡𝑎 2018 / 소비자가: 265,000원 
🍷 𝐿𝑎 𝑆𝑝𝑖𝑛𝑒𝑡𝑡𝑎 𝐵𝑎𝑟𝑜𝑙𝑜 𝐶𝑎𝑚𝑝𝑒 2018 /소비자가: 325,000원

<행사 안내>
✔️ 주제 : Italian Innovation(이탈리안 이노베이션)
✔️ 일시 : 2022.10.27일 (목) 저녁 7시 ~ 9시
✔️ 장소 : After9&wine (마포구 양화로 45 메세나폴리스몰 115호)
✔️ 강사 : 이효정 박사(경희대학교 관광대학원 와인마스터소믈리에 전문가과정 교수)

예약 문의
✔️인스타 DM : 신청 예약 시(성함, 인원, 연락처)를 보내주세요~

전화 문의 및 예약
✔️ 평일 (월 ~금) 14:00 ~ 21:00
☎️ 02 - 333 -0527

@ 환불 규정 
- 행사 7일전까지 취소: 전액 환불 (세미나 비용 + 실습 비용)
- 행사 6일전~당일 취소: 세미나 비용 환불 (실습 비용 환불 불가)",2022-11-07,72
와인소셜,18322801636021208,https://www.instagram.com/p/CjEdYKRvWRI/,IMAGE,62,2,2022-09-28 23:57:56+00:00,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/309227412_471035938302444_4482081288436770812_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=hpAJNwnMD_oAX9sgPp2&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfC37_OTk2LSRD2UWSQU7DXjfKvxFrWjI5yTZjWXw2sqVw&oe=636D5F1D,"𝘋𝘳𝘪𝘯𝘬 𝘸𝘪𝘯𝘦 𝘸𝘪𝘵𝘩 𝘺𝘰𝘶𝘳 𝘭𝘰𝘷𝘦.

✔낮 2시부터 오픈(월,화 휴무)
📍 강남구 압구정로46길 71-1 2층",2022-11-07,124
와인소셜,17980428193634340,https://www.instagram.com/p/Ci_UK9TPKlw/,IMAGE,141,4,2022-09-27 00:01:17+00:00,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/308690045_773645513907983_5056430235369223806_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=VGuBygng18MAX9ykuhX&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAcdrIsFq8EK1kzV5UmVXlQjjEaY8frBRELBKkyMkvHrQ&oe=636E10D0,"피크닉의 계절이 왔어요!🌼
와인소셜 소믈리에가 엄선한 와인들로 피크닉을 즐겨보면 어떨까요?

와인소셜의 코스 와인들은 바틀 구매도 가능합니다.
(코스를 즐기지 않고, 병 와인 구매만도 가능해요)

""피크닉에 어울리는 와인을 추천해 주세요""라고 말해주세요!
📞방문 전 미리 전화하면 바로 픽업 가능!
🚚혹시나 배송이 필요하다면, 방문 결제 후 택배 서비스를 신청하실수도 있어요.

☎010-5525-0603",2022-11-07,282
주류학개론,18227637226150196,https://www.instagram.com/p/CjIAVLfhsMT/,CAROUSEL_ALBUM,345,3,2022-09-30 09:01:05+00:00,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/309446704_447871147440255_5357070808104856011_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=a13MUcSTUiUAX-NMUbJ&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfATdm7diiaPL2gzyivmwCIXHuDQk3J6-UIJs-ERgZKlFw&oe=636D8370,"오늘은 👉🏻 이강주

우리나라의 전통주 중에
조선시대 3대 명주라고 불리는 술?!

봉산탈춤을 비롯한 옛 문헌에도 자주 나오고
최초로 서양 국가과 조약을 맺은 때도 조선을 대표하는 술로 등장했었다?!

자세한 내용은
'주류학개론' 채널에서
많은 시청부탁드립니다!",2022-11-07,690
주류학개론,17985144478609632,https://www.instagram.com/p/CjC3DHuhgkX/,CAROUSEL_ALBUM,898,14,2022-09-28 09:03:46+00:00,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/309039875_160924806591226_7652762840949034679_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=PV37wtSVXdQAX8YqdOn&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAHXvn-1hKXBNHItLkV0fr565aTIDiEVarruRiYrTzVJg&oe=636DCF6F,"오늘은 👉🏻 잭다니엘 테네시 허니

마트에서 쉽게 볼 수 있는 상아색 #잭다니엘
많은 분들이 #위스키 인줄 알고 사셨다가 단맛에 놀라는?!

너무 달아서 처리하기 곤란하다고 말씀하시는 분들!
칵테일로 맛있게 만들어 먹어봐요!

자세한 내용은
'주류학개론' 채널에서
많은 시청부탁드립니다!",2022-11-07,1796
주류학개론,17977173652735056,https://www.instagram.com/p/Ci9ujRChR29/,CAROUSEL_ALBUM,406,2,2022-09-26 09:13:19+00:00,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/309061222_2250257478466209_6868160714885682649_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=yygg0bs5gK4AX_fQsBO&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfADFQBtbWPGe4qRmnXWGL31t5Ql0aiSfGSJ6RZLg5d6QA&oe=636D6BFF,"오늘은 👉🏻 쟝퓨 세브도르, 트레스뷰

포도로 만드는 프랑스 술의 최종 도착지
바로 #꼬냑 이라 할 수 있는데요!

기업화된 것이 아닌
가내수공업처럼 가족들이 오순도순 모여서 만드는 코냑!!

자세한 내용은
'주류학개론' 채널에서
많은 시청부탁드립니다!",2022-11-07,812
달리 Dali 주류 스마트오더,17944287104496564,https://www.instagram.com/p/CjIA5NghhAq/,CAROUSEL_ALBUM,112,2,2022-09-30 09:06:00+00:00,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/309641267_637290077785847_6841726444278778697_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Z46yN4Tb5eEAX8t9Yf6&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfATP8ZtifpzekDHLCWv3HYNCwRp8Th9QcrJd-BhH7ZGYA&oe=636D6FCE,"남달리 유쾌한 어른들의 주류 앱, 
달리가 확 달라졌습니다!

기존의 주류스마트오더 서비스에
커뮤니티와 주류전문 버티컬 플랫폼까지 더해 새로워진 달리를 만나보세요. 

이제 달리에서
🥃 좋아하는 술 사고
🍷 술과 함께하는 자기만의 라이프 스타일을 공유하고
🍸 기물, 글라스, 안주 등 술과 관련된 모든 아이템도 살 수 있답니다!

술 좋아하는 어른이라면! 필수인 달리에서 술과 관련된 모든 것을 해결하세요. 

*업데이트 기념 친구 추가 이벤트도 진행 중(~10/31)

#달리 #dali #달리주류스마트오더 #주류스마트오더 #스마트오더서비스 #주류문화 #술주문 #술추천 #술선물 #와인 #위스키 #스피릿 #보드카 #럼 #진 #데킬라 #리큐르 #브랜디 #맥주 #전통주 #칵테일 #술스타그램 #술 #유쾌한어른들의주류앱_달리 #주류커뮤니티 #주류전문버티컬플랫폼",2022-11-07,224
달리 Dali 주류 스마트오더,17967202774895726,https://www.instagram.com/p/CjIA3GZBunO/,CAROUSEL_ALBUM,80,0,2022-09-30 09:05:43+00:00,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/309962124_1162695690983598_8190435776481247105_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=zMJXOecjaC4AX-n_jCd&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBPdhjefzCxBQ1EZbFu8vev9wTicsdvgCqBCYS0Xruk3g&oe=636CCFFC,"남달리 유쾌한 어른들의 주류 앱, 
달리가 확 달라졌습니다!

기존의 주류스마트오더 서비스에
커뮤니티와 주류전문 버티컬 플랫폼까지 더해 새로워진 달리를 만나보세요. 

이제 달리에서
🥃 좋아하는 술 사고
🍷 술과 함께하는 자기만의 라이프 스타일을 공유하고
🍸 기물, 글라스, 안주 등 술과 관련된 모든 아이템도 살 수 있답니다!

술 좋아하는 어른이라면! 필수인 달리에서 술과 관련된 모든 것을 해결하세요. 

*업데이트 기념 친구 추가 이벤트도 진행 중(~10/31)

#달리 #dali #달리주류스마트오더 #주류스마트오더 #스마트오더서비스 #주류문화 #술주문 #술추천 #술선물 #와인 #위스키 #스피릿 #보드카 #럼 #진 #데킬라 #리큐르 #브랜디 #맥주 #전통주 #칵테일 #술스타그램 #술 #유쾌한어른들의주류앱_달리 #주류커뮤니티 #주류전문버티컬플랫폼",2022-11-07,160
달리 Dali 주류 스마트오더,18142743889302320,https://www.instagram.com/p/CjIA0iYBKn3/,CAROUSEL_ALBUM,82,3,2022-09-30 09:05:22+00:00,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/309328431_433137792142744_6662041921894713758_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=yGlq3rCcKEUAX9oxpgh&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfC3id4WsvyDht0lpeXI4-4cBQR9wSvOYlUwpIgLX7gUtA&oe=636CF21C,"남달리 유쾌한 어른들의 주류 앱, 
달리가 확 달라졌습니다!

기존의 주류스마트오더 서비스에
커뮤니티와 주류전문 버티컬 플랫폼까지 더해 새로워진 달리를 만나보세요. 

이제 달리에서
🥃 좋아하는 술 사고
🍷 술과 함께하는 자기만의 라이프 스타일을 공유하고
🍸 기물, 글라스, 안주 등 술과 관련된 모든 아이템도 살 수 있답니다!

술 좋아하는 어른이라면! 필수인 달리에서 술과 관련된 모든 것을 해결하세요. 

*업데이트 기념 친구 추가 이벤트도 진행 중(~10/31)

#달리 #dali #달리주류스마트오더 #주류스마트오더 #스마트오더서비스 #주류문화 #술주문 #술추천 #술선물 #와인 #위스키 #스피릿 #보드카 #럼 #진 #데킬라 #리큐르 #브랜디 #맥주 #전통주 #칵테일 #술스타그램 #술 #유쾌한어른들의주류앱_달리 #주류커뮤니티 #주류전문버티컬플랫폼",2022-11-07,164
WSA와인아카데미,17955823406086156,https://www.instagram.com/p/CjDBgBpP8Ur/,CAROUSEL_ALBUM,267,2,2022-09-28 10:35:06+00:00,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/309265345_820185239021108_4348101714335850060_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=NW30Zx-W5kIAX9swzfa&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfCy_DAj6Ui152-pu_xp5RFmP2DTv1qhbpL7uoc8JgCmcg&oe=636DEE71,"wolfgangssteakhouse X WSA X CARDINALE 💯

오늘 오후, 
울프강에서 제일 즐거웠던 우리!🍷🍷🍷🍷

08빈티지를 선보여주신 팀장님과👏
유쾌! 통쾌!! 사랑이 넘치는 EMMA👍
그리고 감동을 준 울프강💯

감사드립니다.

궁금한와인과 가장 가까울 수 있는 자리!
행복한 런치로 또 뵙겠습니다.
감사합니다.🔥
.
.
.
#wsa와인아카데미 #wsa#와인교육#와인공부#울프강#압구정맛집#스테이크하우스#나파밸리#국순당",2022-11-07,534
